,IO,compute,conclude,n,prepare,total,universe,wait
9,0.11530518531799316,0.002463817596435547,0.00047898292541503906,56.0,1.1920928955078125e-05,2.6457550525665283,1.1537539958953857,1.1484580039978027
10,0.10164189338684082,0.0027055740356445312,0.0005431175231933594,64.0,1.0967254638671875e-05,2.5372729301452637,0.9509711265563965,1.2509770393371582
11,0.08589744567871094,0.0017156600952148438,0.0006921291351318359,72.0,1.0967254638671875e-05,2.600724935531616,1.4969780445098877,0.780846118927002
0,6.6351470947265625,0.12776446342468262,9.202957153320312e-05,1.0,1.0013580322265625e-05,8.231629848480225,0.9616560935974121,0.4621741771697998
1,3.3813042640686035,0.06662535667419434,8.392333984375e-05,2.0,1.1920928955078125e-05,5.53157901763916,0.9903848171234131,1.0425081253051758
2,1.6196446418762207,0.03170275688171387,8.416175842285156e-05,4.0,1.0967254638671875e-05,3.485253095626831,0.9496870040893555,0.8620011806488037
3,0.8124797344207764,0.016054153442382812,0.00010013580322265625,8.0,1.1920928955078125e-05,3.2895758152008057,0.9381210803985596,1.4384570121765137
4,0.42244839668273926,0.009243965148925781,0.0004260540008544922,16.0,1.0013580322265625e-05,3.594083070755005,0.9644250869750977,2.0752618312835693
5,0.29871225357055664,0.006330728530883789,0.00025200843811035156,24.0,1.1205673217773438e-05,3.6493051052093506,0.9618191719055176,2.247972011566162
6,0.21744275093078613,0.0047681331634521484,0.0004620552062988281,32.0,1.0967254638671875e-05,2.906345844268799,0.9525241851806641,1.5875051021575928
7,0.16869783401489258,0.0035698413848876953,0.0004508495330810547,40.0,1.1920928955078125e-05,2.306608200073242,0.9655001163482666,0.9747140407562256
8,0.1372361183166504,0.002777099609375,0.00043511390686035156,48.0,1.0967254638671875e-05,2.2279300689697266,0.9709758758544922,0.9602930545806885
9,0.11453866958618164,0.0028650760650634766,0.0004999637603759766,56.0,1.1205673217773438e-05,2.413666009902954,0.9793400764465332,1.1132259368896484
10,0.10178399085998535,0.002157449722290039,0.00051116943359375,64.0,1.1920928955078125e-05,2.595484972000122,0.9794518947601318,1.2761340141296387
11,0.09464192390441895,0.0018608570098876953,0.0005960464477539062,72.0,1.0967254638671875e-05,2.5991549491882324,1.396324872970581,0.8532290458679199
0,7.1113831996917725,0.12817168235778809,0.0001049041748046875,1.0,8.106231689453125e-06,9.533797979354858,0.9777719974517822,1.2439980506896973
1,3.2079951763153076,0.06311488151550293,9.417533874511719e-05,2.0,1.2159347534179688e-05,4.875133037567139,0.9512679576873779,0.5875020027160645
2,1.6234006881713867,0.0319516658782959,0.00010013580322265625,4.0,1.1920928955078125e-05,3.4780209064483643,0.9569318294525146,0.8225128650665283
3,0.8177547454833984,0.017784833908081055,0.00010895729064941406,8.0,1.4066696166992188e-05,3.3029069900512695,0.9327008724212646,1.472728967666626
4,0.4461090564727783,0.009782791137695312,0.000225067138671875,16.0,8.821487426757812e-06,3.8886308670043945,0.9837071895599365,2.329132080078125
